date	experiment	round	assay	condition	control	plate	row	col	strain	trait	phenotype	.fitted	.se.fit	.hat	.sigma	.cooksd	.std.resid
20140429	RIAILs	1	b	thiabendazole-625	halfpercDMSO	12	A	1	QX318	mean.TOF	-48.57744070225488	-10.710420374176318	2.1879402019902634	0.012354419787840366	19.55197775834251	0.0771331065622804	-2.4831891203846133
20140512	RIAILs	1	e	thiabendazole-625	halfpercDMSO	12	A	1	QX89	mean.TOF	-1.4448507912155546	-5.405760356277422	1.1042965628446841	0.003147189534473721	19.709904425223314	1.706311355096182e-5	-0.0735162269976261
20140513	RIAILs	1	f	thiabendazole-625	halfpercDMSO	12	A	1	QX184	mean.TOF	-21.289930919157534	0.40544452277453036	0.08282479492532276	1.770403241329669e-5	19.68015369193322	2.071035464273168e-5	-1.0815679900307054
20140526	RIAILs	1	i	thiabendazole-625	halfpercDMSO	12	A	1	QX267	mean.TOF	-11.944182053325825	-4.680568741095051	0.9561533683133692	0.002359427169590509	19.70061778273942	8.728159141224949e-4	-0.6074983343857436
20140527	RIAILs	1	j	thiabendazole-625	halfpercDMSO	12	A	1	QX218	mean.TOF	-32.20223029139902	-12.217064601135919	2.4957196690044117	0.01607470683147492	19.640476162958123	0.04443673810663678	-1.6492276899984992
20140603	RIAILs	1	k	thiabendazole-625	halfpercDMSO	12	A	1	QX137	mean.TOF	-20.51088767510209	-8.280278662211849	1.6915073298538694	0.007384128158980572	19.682096557033624	0.008136866025130272	-1.0458504255038572
20140623	RIAILs	1	l	thiabendazole-625	halfpercDMSO	12	A	1	QX364	mean.TOF	2.266126094563459	-7.736284514095032	1.5803794165945577	0.006445760828231138	19.70970184564946	8.653875174432939e-5	0.1154952199276768
20140429	RIAILs	1	b	thiabendazole-625	halfpercDMSO	12	A	3	QX171	mean.TOF	17.91896121534001	-11.224169839302492	2.292889687559545	0.013568060756305445	19.68858305382367	0.01155475243095899	0.9165475385419666
20140512	RIAILs	1	e	thiabendazole-625	halfpercDMSO	12	A	3	QX112	mean.TOF	-0.19896392971943877	2.724538464827704	0.5565726676273254	7.994571805835114e-4	19.71003980176717	8.180692014515741e-8	-0.010111690034246801
20140513	RIAILs	1	f	thiabendazole-625	halfpercDMSO	12	A	3	QX250	mean.TOF	-35.31070906103671	-1.4495545830096546	0.296117111779561	2.26296828325251e-4	19.62769669008465	7.28516484088986e-4	-1.7940366571053092
20140526	RIAILs	1	i	thiabendazole-625	halfpercDMSO	12	A	3	QX299	mean.TOF	-33.49355520276083	-7.460766950448604	1.52409628924786	0.00599482167603448	19.635538829897897	0.01756600208100151	-1.7066428825976667
20140527	RIAILs	1	j	thiabendazole-625	halfpercDMSO	12	A	3	QX198	mean.TOF	18.644916506085295	-6.887555306065654	1.4069997834918149	0.005109042539581127	19.687005673855722	0.004630851931487565	0.9496168887816657
20140603	RIAILs	1	k	thiabendazole-625	halfpercDMSO	12	A	3	QX311	mean.TOF	32.60762810983642	3.6358722195162936	0.7427412482856026	0.0014237264190582709	19.63975882767127	0.003917905298187755	1.657693812986462
20140623	RIAILs	1	l	thiabendazole-625	halfpercDMSO	12	A	3	QX358	mean.TOF	-15.77981206936169	-6.138441791309803	1.2539697886336902	0.004058126719719815	19.69356181357822	0.002629134055886167	-0.803268172256714
20140624	RIAILs	1	m	thiabendazole-625	halfpercDMSO	12	A	3	QX486	mean.TOF	-3.7269854101827544	4.040731630348664	0.8254465156950864	0.001758447209651054	19.7091255342174	6.325937402136161e-5	-0.18950278614066984
