Metadata_Plate,Metadata_Well,Metadata_Experiment,bleach,drug,strain,mean_wormlength_um,min_wormlength_um,q10_wormlength_um,q25_wormlength_um,median_wormlength_um,sd_wormlength_um,q75_wormlength_um,q90_wormlength_um,max_wormlength_um,cv_wormlength_um,n,Metadata_Date,Metadata_Group,Metadata_Magnification,FileName_RawBF,FileName_wellmask_98.png,PathName_RawBF,PathName_wellmask_98.png,assay_type,food_conc_OD,food_type,plate,row,col,well_censor,well_censor_reason,notes,concentration_um,diluent,class
p001,A01,cypassay3,1,Thiabendazole,N2,710.336914001976,647.20373236359,668.142395900108,695.365420456981,705.594189257084,31.7751373121346,733.091651513266,754.635137086385,767.415464727179,0.0447324877614993,25,20220908,p001_A01,m2x,20220908-cypassay3-p001-m2x_A01.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,1,,,,32.5,DMSO,Anthelmintic
p001,A02,cypassay3,1,Thiabendazole,N2,733.878073143411,675.519762288374,689.74428508714,715.812204241476,740.88441894906,28.9242662399605,751.834790197274,761.300232941188,786.806470098638,0.0394129042663307,24,20220908,p001_A02,m2x,20220908-cypassay3-p001-m2x_A02.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,2,,,,32.5,DMSO,Anthelmintic
p001,A03,cypassay3,1,Thiabendazole,N2,712.432776162322,683.920227565206,685.913972074065,691.045208427241,708.088703625919,26.1044784228038,727.305874597326,743.942932999372,776.594336571355,0.0366413215341121,23,20220908,p001_A03,m2x,20220908-cypassay3-p001-m2x_A03.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,3,,,,32.5,DMSO,Anthelmintic
p001,A04,cypassay3,1,Thiabendazole,N2,718.395436256369,677.720657466569,682.618611459604,704.350377350476,718.817453430647,25.209959537409,737.344173724556,752.642293464849,762.851291026044,0.0350920374282729,21,20220908,p001_A04,m2x,20220908-cypassay3-p001-m2x_A04.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,4,,,,32.5,DMSO,Anthelmintic
p001,A05,cypassay3,1,Thiabendazole,N2,736.780542021519,645.685683303779,682.832017668969,715.312964541428,733.962083998434,38.3371910614296,765.540420132348,773.430126567108,827.016462981641,0.0520333924077897,32,20220908,p001_A05,m2x,20220908-cypassay3-p001-m2x_A05.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,5,,,,32.5,DMSO,Anthelmintic
p001,A06,cypassay3,1,Thiabendazole,N2,712.995062245784,670.29979346485,683.051307627915,695.499093755773,714.04831494191,27.0053079760531,722.45993406826,752.951986553624,770.337970098637,0.0378758695621146,19,20220908,p001_A06,m2x,20220908-cypassay3-p001-m2x_A06.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,6,,,,32.5,DMSO,Anthelmintic
p001,A07,cypassay3,1,Thiabendazole,N2,708.865715884142,625.786364727179,662.29130188038,691.763697273706,713.860282721934,36.8951502327017,730.765091360967,753.401317994755,761.587089257084,0.0520481515835249,31,20220908,p001_A07,m2x,20220908-cypassay3-p001-m2x_A07.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,7,,,,32.5,DMSO,Anthelmintic
p001,A08,cypassay3,1,Thiabendazole,N2,717.993317886129,675.532443705794,688.878304986886,699.729097963538,715.127620456981,24.4056002072232,731.30180275315,750.638649749529,768.408565309025,0.0339914029827975,23,20220908,p001_A08,m2x,20220908-cypassay3-p001-m2x_A08.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,8,,,,32.5,DMSO,Anthelmintic
p001,A09,cypassay3,1,Thiabendazole,N2,711.893604482164,686.534217412908,689.715398900082,694.185490905495,702.846022198134,23.7547404112679,728.302420456982,743.649707990507,757.67148330378,0.0333683857555473,12,20220908,p001_A09,m2x,20220908-cypassay3-p001-m2x_A09.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,9,,,,32.5,DMSO,Anthelmintic
p001,A10,cypassay3,1,Thiabendazole,N2,714.898965227371,686.848615667369,692.898705016172,707.929068319388,713.748620967021,16.5999897264585,725.806183449241,732.560133796225,746.694442515888,0.0232200500124922,14,20220908,p001_A10,m2x,20220908-cypassay3-p001-m2x_A10.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,10,,,,32.5,DMSO,Anthelmintic
p001,A11,cypassay3,1,Thiabendazole,N2,702.113629349588,649.407374306403,652.794895815656,687.296687220622,716.716973022519,29.4506883802461,718.554993755773,726.427489609816,735.802598836308,0.041945757992945,11,20220908,p001_A11,m2x,20220908-cypassay3-p001-m2x_A11.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,11,,,,32.5,DMSO,Anthelmintic
p001,A12,cypassay3,1,Thiabendazole,N2,725.754843160828,674.004849194651,689.031285420132,699.389746799846,721.572019149675,33.3775957851188,747.114985351953,764.145861387935,808.837732816472,0.0459901798791335,35,20220908,p001_A12,m2x,20220908-cypassay3-p001-m2x_A12.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,A,12,,,,32.5,DMSO,Anthelmintic
p001,B01,cypassay3,1,Thiabendazole,N2,727.237480858943,651.982210877758,683.841082927703,706.879884903857,727.548772198134,32.0029300322409,752.599780389024,764.865413872142,772.153782140087,0.0440061615009751,22,20220908,p001_B01,m2x,20220908-cypassay3-p001-m2x_B01.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,1,,,,32.5,DMSO,Anthelmintic
p001,B02,cypassay3,1,Thiabendazole,N2,736.292700855812,679.890021038828,699.283580048674,713.432291719311,725.670787511545,33.4125073617697,762.055241360967,766.782894056064,803.680443097735,0.0453793814918082,17,20220908,p001_B02,m2x,20220908-cypassay3-p001-m2x_B02.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,2,,,,32.5,DMSO,Anthelmintic
p001,B03,cypassay3,1,Thiabendazole,N2,715.044671397097,613.251113778217,663.360086862847,699.668856311648,723.07931566737,39.2382818827979,734.010312623297,758.152372793603,789.01011204145,0.0548752874504075,25,20220908,p001_B03,m2x,20220908-cypassay3-p001-m2x_B03.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,3,,,,32.5,DMSO,Anthelmintic
p001,B04,cypassay3,1,Thiabendazole,N2,732.193851630031,673.439739615428,693.411045580575,710.823175503806,728.407695568732,31.7678935626565,755.843194807714,768.905804655511,795.46039346485,0.0433872716793973,22,20220908,p001_B04,m2x,20220908-cypassay3-p001-m2x_B04.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,4,,,,32.5,DMSO,Anthelmintic
p001,B05,cypassay3,1,Thiabendazole,N2,726.114029342084,642.731319903365,682.163196741661,701.387710877758,734.65574440504,33.4212692636052,745.964685642876,761.912846786362,779.206259554808,0.0460275768172217,23,20220908,p001_B05,m2x,20220908-cypassay3-p001-m2x_B05.TIF,wellmask_98.png,/projects/b1059/projects/JB/cellprofiler-nf//projects/20220908_cypRd3//raw_images/,/projects/b1059/projects/JB/cellprofiler-nf/input_data/well_masks/,48h,10,15hHB101,1,B,5,,,,32.5,DMSO,Anthelmintic
