	chrom	start	end	pi	theta	td
0	V	1	10000	0.002011398385837540	0.005964449539444330	-1.9237270318792000
1	V	1001	11000	0.0022023672518347300	0.006480222337755480	-1.918108263787810
2	V	2001	12000	0.0021021355101136200	0.006308298071651770	-1.9367212553834100
3	V	3001	13000	0.002070231333106470	0.006228948410373130	-1.938960475641910
4	V	4001	14000	0.0020799701861233200	0.0064669973942090400	-1.9710326208871400
5	V	5001	15000	0.002423551384975360	0.007022445023159510	-1.9046253520911300
6	V	6001	16000	0.0025594077868772400	0.007300168837634750	-1.8894929453406200
7	V	7001	17000	0.002737157417468970	0.00767046725693506	-1.8722913195451800
8	V	8001	18000	0.003014429372974150	0.00827881466007129	-1.8525299773939800
9	V	9001	19000	0.0030316352040354500	0.008186240055246210	-1.8342127795318700
10	V	10001	20000	0.003028689104545190	0.007749816918213700	-1.7736052413527100
11	V	11001	21000	0.002850606175495680	0.007392743442459830	-1.7879012363765800
12	V	12001	22000	0.002975150554775390	0.007789491748853020	-1.7995045297547900
13	V	13001	23000	0.002964121901241930	0.007921741184317420	-1.822431784550010
14	V	14001	24000	0.0030465931924134400	0.007974640958503180	-1.7996633590374800
15	V	15001	25000	0.002916993764643300	0.007815941635945900	-1.8249947498881600
16	V	16001	26000	0.0028686281942291100	0.007908516240770980	-1.8557411172402900
17	V	17001	27000	0.002814315117023400	0.00777626680530658	-1.857800548490790
18	V	18001	28000	0.002784098277488380	0.007815941635945900	-1.8745020262897400
19	V	19001	29000	0.0029194329597380700	0.008146565224606890	-1.8689915120742600
20	V	20001	30000	0.003090541426689140	0.008992961611579040	-1.9135637168171100
21	V	21001	31000	0.0030676208971040300	0.009059086329311240	-1.9283778492955800
22	V	22001	32000	0.003084176822984600	0.008821037345475320	-1.8958135086529100
23	V	23001	33000	0.0029794335460256500	0.008463963869721450	-1.8881747186639600
24	V	24001	34000	0.002985708670785030	0.008741687684196680	-1.9192409680535500
25	V	25001	35000	0.002806972569655900	0.008582988361639400	-1.9612037143951200
26	V	26001	36000	0.002736832335668040	0.008411064095535690	-1.9656542349149900
27	V	27001	37000	0.0026937015372600000	0.008173015111699770	-1.9528814336644300
28	V	28001	38000	0.0026405392433103100	0.008397839151989250	-1.9975417506606600
29	V	29001	39000	0.002705899343810580	0.008463963869721450	-1.9823451097147600
30	V	30001	40000	0.002784127097684760	0.008358164321349930	-1.9430505499452900
31	V	31001	41000	0.003189479583599340	0.00888716206320752	-1.8689821004528000
32	V	32001	42000	0.0032786326056490400	0.009191335764775630	-1.8758822970615500
33	V	33001	43000	0.003430589187834630	0.009614533958261710	-1.8762919343464600
34	V	34001	44000	0.0033098639498541400	0.009455834635704430	-1.8958044491677500
35	V	35001	45000	0.0034173870401568700	0.009614533958261710	-1.88029764334346
36	V	36001	46000	0.0034663535633851600	0.009786458224365420	-1.8841901255056200
37	V	37001	47000	0.003458416651236990	0.00990548271628338	-1.8991304121047300
38	V	38001	48000	0.0035063045592180100	0.009574859127622390	-1.8488474119600000
39	V	39001	49000	0.0035662748140046100	0.009733558450179660	-1.848541247962250
40	V	40001	50000	0.0036847520591105000	0.010011282264654900	-1.8440851277283200
41	V	41001	51000	0.0035514023938374100	0.010117081813026400	-1.893936909521550
42	V	42001	52000	0.003363341332494360	0.009680658675993900	-1.9037736347433300
43	V	43001	53000	0.003344856945269680	0.009336810143786470	-1.871657519488420
44	V	44001	54000	0.003454585966028910	0.008860712176114640	-1.7785906088133800
45	V	45001	55000	0.0032464655352576400	0.008344939377803490	-1.780064068113420
46	V	46001	56000	0.003404942336987250	0.008424289039082130	-1.7360864548500900
47	V	47001	57000	0.003434909062833910	0.008662338022918040	-1.75882474532154
48	V	48001	58000	0.0033818536466230400	0.008649113079371600	-1.7749111565129600
49	V	49001	59000	0.0034540930793658600	0.008860712176114640	-1.7787527662540400
50	V	50001	60000	0.00332237832626735	0.008715237797103800	-1.8035721164115000
51	V	51001	61000	0.0032485336371118300	0.008609438248732280	-1.814715001980700
52	V	52001	62000	0.003049610007637510	0.008411064095535690	-1.8573025176231300
53	V	53001	63000	0.003160973398873440	0.00935003508733291	-1.9305154676379000
54	V	54001	64000	0.0031435300414915800	0.009971607434015580	-1.9981341793645100
55	V	55001	65000	0.003215301306385900	0.010275781135583700	-2.005455837815110
56	V	56001	66000	0.003040696091102070	0.009760008337272540	-2.0085890578866000
57	V	57001	67000	0.0028985490251476500	0.009521959353436630	-2.0290070383463400
58	V	58001	68000	0.00310230706139034	0.00995838249046914	-2.0089705942431
59	V	59001	69000	0.002753124440506890	0.009217785651868510	-2.045163586854280
60	V	60001	70000	0.0026664772174279500	0.009085536216404120	-2.0600385019499800
61	V	61001	71000	0.002603862866819810	0.008966511724486160	-2.0688008835479400
62	V	62001	72000	0.0028339881662167800	0.009336810143786470	-2.0312334307326700
63	V	63001	73000	0.0027581555034228900	0.008940061837393280	-2.0159270055792200
64	V	64001	74000	0.002619911510371110	0.009059086329311240	-2.072474961106740
65	V	65001	75000	0.002694345104829240	0.009376484974425790	-2.0784883904815600
66	V	66001	76000	0.002837919921045860	0.010037732151747800	-2.093146985307160
67	V	67001	77000	0.0031888456709106500	0.010381580683955200	-2.022360211906680
68	V	68001	78000	0.0031342927694900100	0.009998057321108460	-2.0033059755188900
69	V	69001	79000	0.003364276325795160	0.010844453708080600	-2.0140674126427500
70	V	70001	80000	0.0035996636885613700	0.010950253256452100	-1.9601917037999400
71	V	71001	81000	0.0036116039775371200	0.010923803369359200	-1.9546412304102000
72	V	72001	82000	0.0037193207841285700	0.011267651901566700	-1.9566217240925400
73	V	73001	83000	0.0036663014543730200	0.01106927774837010	-1.9530866341862900
74	V	74001	84000	0.0038003835893133100	0.01106927774837010	-1.9177124798954800
75	V	75001	85000	0.0037994040087795800	0.010857678651627000	-1.8981705488027300
76	V	76001	86000	0.0036224348432022800	0.010381580683955200	-1.9004492157743600
77	V	77001	87000	0.003511114300079820	0.010408030571048100	-1.934295282384190
78	V	78001	88000	0.003269973504784620	0.010262556192037300	-1.9887100556624800
79	V	79001	89000	0.003436728419204150	0.009879032829190500	-1.9027678751116100
80	V	80001	90000	0.003325793940967830	0.009707108563086790	-1.9178626005814800
81	V	81001	91000	0.0033930081043525900	0.009693883619540350	-1.8962494829834400
82	V	82001	92000	0.0030761663350529500	0.008860712176114640	-1.9030889234455400
83	V	83001	93000	0.0031497499210421400	0.008953286780939720	-1.8897695255122800
84	V	84001	94000	0.0032540835034215700	0.008688787910010920	-1.8230491191625000
85	V	85001	95000	0.0034625528461615300	0.009111986103497000	-1.807829059301830
86	V	86001	96000	0.0035574527339522100	0.009561634184075950	-1.8317445571801200
87	V	87001	97000	0.0034682848026424000	0.00942938474861155	-1.8438931593187800
88	V	88001	98000	0.0036457928897080800	0.00993193260337626	-1.8468339269154700
89	V	89001	99000	0.0033267543605705500	0.009693883619540350	-1.9161885576548200
90	V	90001	100000	0.0032454699816565800	0.00993193260337626	-1.9644466370980700
91	V	91001	101000	0.003179000080778640	0.009720333506633220	-1.9633022726598700
92	V	92001	102000	0.003514649683415330	0.010381580683955200	-1.9307548530864200
93	V	93001	103000	0.003379708443039250	0.010315455966223000	-1.962508224978700
94	V	94001	104000	0.0031603995627964800	0.010222881361397900	-2.016324315897900
95	V	95001	105000	0.00301902939782249	0.009839357998551180	-2.0224764236749000
96	V	96001	106000	0.0029617208644283600	0.00938970991797223	-1.9966421198515400
97	V	97001	107000	0.003012767812729290	0.009548409240529510	-1.9966200528792100
98	V	98001	108000	0.0029813848913704900	0.009138435990589870	-1.9646145034684900
99	V	99001	109000	0.002995303540744890	0.00927068542605427	-1.9740516525165100
100	V	100001	110000	0.0029735651553510600	0.009032636442218360	-1.9557974820451000
101	V	101001	111000	0.002873164679734480	0.008979736668032600	-1.9826396594349400
102	V	102001	112000	0.002597940634422280	0.008649113079371600	-2.039066732834130
103	V	103001	113000	0.002553746985695110	0.008490413756814330	-2.037525279928700
104	V	104001	114000	0.002628862211552450	0.008556538474546530	-2.0188629891213600
105	V	105001	115000	0.002818726850318750	0.008900387006753960	-1.991998502704770
106	V	106001	116000	0.002823278441818850	0.009059086329311240	-2.0070204758359200
